               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.033244,            0.024031,           0.0054892,             0.56658,             0.62835,             0.57863,             0.32874,            0.034163,            0.015808,           0.0068961,           0.0096667,           0.0096667,           0.0096667
                 103,            0.033222,            0.024495,           0.0050996,             0.54711,             0.68931,             0.62364,             0.35685,            0.034233,            0.015683,           0.0059171,           0.0096634,           0.0096634,           0.0096634
                 104,            0.033538,            0.024536,           0.0051502,             0.72942,             0.56242,             0.60459,             0.34137,            0.034218,            0.016055,           0.0064939,           0.0096601,           0.0096601,           0.0096601
                 105,            0.034454,            0.025481,           0.0051057,             0.69428,             0.57616,              0.6144,              0.3574,            0.033228,            0.015853,             0.00569,           0.0096568,           0.0096568,           0.0096568
                 106,            0.033618,            0.023976,           0.0052352,             0.67517,             0.56152,              0.5864,             0.33895,             0.03383,             0.01589,           0.0063928,           0.0096535,           0.0096535,           0.0096535
                 107,            0.034358,            0.025701,           0.0052523,             0.81461,             0.54424,             0.60832,             0.35023,            0.032164,            0.015665,           0.0064691,           0.0096502,           0.0096502,           0.0096502
                 108,            0.033184,            0.024622,           0.0055243,             0.69364,             0.63476,             0.64152,              0.3705,            0.032932,            0.015492,           0.0066719,           0.0096469,           0.0096469,           0.0096469
                 109,            0.032694,            0.024158,           0.0052936,             0.71549,             0.59879,             0.63452,             0.37602,            0.032535,            0.015549,           0.0055871,           0.0096436,           0.0096436,           0.0096436
                 110,            0.034176,            0.025617,           0.0052713,             0.76998,              0.5213,             0.57533,             0.33092,            0.033454,            0.016014,            0.006962,           0.0096403,           0.0096403,           0.0096403
                 111,            0.032138,            0.024494,           0.0050815,             0.70039,             0.57252,             0.61484,             0.35167,            0.032517,            0.015433,           0.0059523,            0.009637,            0.009637,            0.009637
                 112,            0.033961,            0.023889,           0.0052985,             0.76763,             0.60132,             0.65763,             0.39331,            0.032783,            0.015525,           0.0055953,           0.0096337,           0.0096337,           0.0096337
                 113,            0.032297,            0.023052,           0.0050424,             0.83915,             0.56089,             0.62807,             0.36302,            0.032934,            0.015609,           0.0060974,           0.0096304,           0.0096304,           0.0096304
                 114,            0.033136,            0.024074,           0.0055302,             0.61085,             0.59034,             0.58751,             0.34568,            0.032649,             0.01566,           0.0062146,           0.0096271,           0.0096271,           0.0096271
                 115,            0.032992,            0.024024,            0.005361,             0.81412,             0.58416,             0.65884,             0.38712,            0.032804,             0.01589,           0.0055564,           0.0096238,           0.0096238,           0.0096238
                 116,            0.035066,            0.023153,           0.0046516,             0.72329,             0.60683,             0.63502,             0.36868,             0.03327,            0.015849,           0.0063213,           0.0096205,           0.0096205,           0.0096205
                 117,            0.032527,            0.024398,           0.0052942,             0.82632,             0.58185,              0.6467,             0.37539,            0.033256,            0.015764,           0.0060388,           0.0096172,           0.0096172,           0.0096172
                 118,            0.033151,            0.024875,           0.0046188,             0.68481,             0.58678,             0.60849,             0.35616,            0.033506,            0.015689,           0.0065189,           0.0096139,           0.0096139,           0.0096139
                 119,            0.033434,             0.02331,           0.0048903,             0.72018,             0.58113,             0.64102,             0.37561,            0.032513,            0.015685,           0.0056992,           0.0096106,           0.0096106,           0.0096106
                 120,            0.034539,            0.025328,           0.0044681,             0.77371,             0.56637,               0.621,             0.37433,            0.031857,            0.015704,           0.0056792,           0.0096073,           0.0096073,           0.0096073
                 121,            0.031928,            0.023804,           0.0048079,             0.73537,             0.58032,             0.64282,             0.37848,            0.032324,            0.015528,           0.0060218,            0.009604,            0.009604,            0.009604
                 122,            0.032713,            0.025009,           0.0050932,             0.65286,             0.62928,             0.62882,             0.36877,            0.032129,            0.015521,           0.0059652,           0.0096007,           0.0096007,           0.0096007
                 123,             0.03194,            0.023595,            0.004785,             0.70988,             0.60603,             0.63749,             0.38174,            0.032161,            0.015583,           0.0061916,           0.0095974,           0.0095974,           0.0095974
                 124,            0.033669,            0.024877,            0.004783,             0.80518,             0.60434,             0.66512,             0.38106,            0.032817,            0.015945,           0.0060678,           0.0095941,           0.0095941,           0.0095941
                 125,            0.032208,             0.02516,           0.0049267,             0.80392,             0.58729,             0.64361,             0.37448,            0.032489,            0.015544,           0.0062213,           0.0095908,           0.0095908,           0.0095908
                 126,            0.033447,            0.024378,           0.0047017,             0.74904,              0.6078,             0.63865,             0.36619,            0.032804,            0.015475,           0.0061307,           0.0095875,           0.0095875,           0.0095875
                 127,             0.03272,             0.02542,           0.0051664,             0.70597,             0.58992,             0.63998,             0.37258,            0.032222,            0.015512,           0.0061142,           0.0095842,           0.0095842,           0.0095842
                 128,             0.03171,            0.024655,           0.0048463,             0.71227,             0.62447,              0.6329,             0.37885,            0.032451,            0.015709,           0.0054795,           0.0095809,           0.0095809,           0.0095809
                 129,            0.032335,            0.023851,           0.0041263,             0.62378,             0.60796,             0.59421,             0.34783,            0.033646,            0.015948,           0.0063506,           0.0095776,           0.0095776,           0.0095776
                 130,            0.032321,            0.022985,            0.004532,             0.90969,             0.55736,              0.6657,             0.38858,            0.031965,            0.015388,           0.0060536,           0.0095743,           0.0095743,           0.0095743
